,tweet_id,date,time,text,source,tweet_url,hashtag,rating_numerator,rating_denominator,dog_stage,dog_name,favorite_count,retweet_count,jpg_url,img_num,prediction,confidence_level
0,892177421306343426,2017-08-01,00:17:27,"This is Tilly. She's just checking pup on you. Hopes you're doing ok. If not, she's available for pats, snugs, boops, the whole bit. 13/10 ",Twitter for iPhone,https://t.co/0Xxu71qeIV,unhashtaged,13.0,10,unclassified,Tilly,29313,5298,https://pbs.twimg.com/media/DGGmoV4XsAAUL6n.jpg,1,Chihuahua,0.323581
1,891815181378084864,2017-07-31,00:18:03,This is Archie. He is a rare Norwegian Pouncing Corgo. Lives in the tall grass. You never know when one may strike. 12/10 ,Twitter for iPhone,https://t.co/wUnZnhtVJB,unhashtaged,12.0,10,unclassified,Archie,22042,3477,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012
2,891689557279858688,2017-07-30,15:58:51,This is Darla. She commenced a snooze mid meal. 13/10 happens to the best of us ,Twitter for iPhone,https://t.co/tD36da7qLQ,unhashtaged,13.0,10,unclassified,Darla,36922,7222,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Labrador_Retriever,0.1680859999999999
3,891327558926688256,2017-07-29,16:00:24,"This is Franklin. He would like you to stop calling him ""cute."" He is a very fierce shark and should be respected as such. 12/10   ",Twitter for iPhone,https://t.co/AtUZn91f7f,#BarkWeek,12.0,10,unclassified,Franklin,35297,7754,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712
4,891087950875897856,2017-07-29,00:08:17,Here we have a majestic great white breaching off South Africa's coast. Absolutely h*ckin breathtaking. 13/10 (IG: tucker_marlo)   ,Twitter for iPhone,https://t.co/kQ04fDDRmh,#BarkWeek,13.0,10,unclassified,unnamed,17801,2599,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake_Bay_Retriever,0.425595
5,890971913173991426,2017-07-28,16:27:12,"Meet Jax. He enjoys ice cream so much he gets nervous around it. 13/10 help Jax enjoy more things by clicking below

",Twitter for iPhone,https://t.co/Zr4hWfAs1H https://t.co/tVJBRMnhxl,unhashtaged,13.0,10,unclassified,Jax,10361,1660,https://pbs.twimg.com/media/DF1eOmZXUAALUcq.jpg,1,Appenzeller,0.341703
6,890729181411237888,2017-07-28,00:22:40,When you watch your owner call another dog a good boy but then they turn back to you and say you're a great boy. 13/10 ,Twitter for iPhone,https://t.co/v0nONBcwxq,unhashtaged,13.0,10,unclassified,unnamed,56839,15748,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142
7,890609185150312448,2017-07-27,16:25:51,This is Zoey. She doesn't want to be one of the scary sharks. Just wants to be a snuggly pettable boatpet. 13/10   ,Twitter for iPhone,https://t.co/9TwLuAGH0b,#BarkWeek,13.0,10,unclassified,Zoey,24512,3617,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish_Terrier,0.4875739999999999
8,890240255349198849,2017-07-26,15:59:51,This is Cassie. She is a college pup. Studying international doggo communication and stick theory. 14/10 so elegant much sophisticate ,Twitter for iPhone,https://t.co/t1bfwz5S2A,unhashtaged,14.0,10,doggo,Cassie,27950,6094,https://pbs.twimg.com/media/DFrEyVuW0AAO3t9.jpg,1,Pembroke,0.511319
9,890006608113172480,2017-07-26,00:31:25,This is Koda. He is a South Australian deckshark. Deceptively deadly. Frighteningly majestic. 13/10 would risk a petting   ,Twitter for iPhone,https://t.co/dVPW0B0Mme,#BarkWeek,13.0,10,unclassified,Koda,27026,6147,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979
